material,weight_kg,transport_mode,transport_distance_km,manufacturing_intensity,material_co2,manufacturing_co2,transport_co2,total_co2_kg,material_encoded,transport_encoded,intensity_encoded
Lentils,0.592,SEA,16969.1,LOW,0.533,0.178,0.151,0.833,16,3,1
Wool,0.165,SEA,15142.1,MEDIUM,1.718,0.347,0.038,1.947,34,3,2
Paper,5.268,AIR,14401.0,LOW,6.848,2.634,72.065,85.363,21,0,1
Leather,2.785,AIR,11604.1,HIGH,47.337,19.492,30.696,99.482,15,0,0
Wool,0.069,RAIL,805.1,MEDIUM,0.722,0.146,0.001,0.877,34,1,2
Wool,0.418,ROAD,2784.1,HIGH,4.348,2.049,0.14,6.431,34,2,0
Lamb,2.455,ROAD,61.1,HIGH,58.921,10.311,0.018,63.839,14,2,0
Beef,2.774,RAIL,4263.5,MEDIUM,74.888,4.993,0.296,72.136,4,1,2
Bananas,0.258,ROAD,1381.7,LOW,0.18,0.064,0.043,0.276,2,2,1
Beef,1.209,ROAD,1454.0,MEDIUM,32.651,2.177,0.211,36.561,4,2,2
Wheat,0.951,ROAD,1049.0,LOW,1.331,0.333,0.12,1.819,32,2,1
Pork,1.748,SEA,8554.7,MEDIUM,21.155,2.885,0.224,25.762,24,3,2
Eggs,7.495,ROAD,2165.1,HIGH,35.976,23.609,1.947,61.933,10,2,0
Oats,0.699,SEA,7535.9,LOW,1.118,0.245,0.079,1.522,20,3,1
Tofu,1.076,SEA,7679.9,MEDIUM,2.153,1.292,0.124,3.832,29,3,2
Milk,0.468,SEA,9337.7,MEDIUM,0.888,0.491,0.065,1.375,18,3,2
Glass,20.159,SEA,15792.1,LOW,18.143,12.095,4.775,35.502,13,3,1
Leather,2.525,AIR,3037.3,HIGH,42.932,17.678,7.287,61.755,15,0,0
Wood,2.75,ROAD,1428.7,HIGH,1.375,7.7,0.471,10.029,33,2,0
Pork,14.012,ROAD,2848.7,HIGH,169.547,53.947,4.79,254.223,24,2,0
Aluminum,1.19,ROAD,2547.3,HIGH,9.762,10.416,0.364,20.065,0,2,0
Potatoes,1.574,RAIL,2106.8,LOW,0.787,0.393,0.083,1.364,25,1,1
Potatoes,0.56,ROAD,344.8,MEDIUM,0.28,0.42,0.023,0.774,25,2,2
Fish_Wild,1.374,SEA,14243.3,LOW,3.984,0.549,0.293,4.941,12,3,1
Steel,0.356,RAIL,3824.3,MEDIUM,0.996,0.96,0.034,1.961,28,1,2
Chicken,1.187,SEA,18595.9,LOW,8.19,0.593,0.331,9.432,7,3,1
Steel,0.627,ROAD,2101.1,HIGH,1.756,3.952,0.158,6.027,28,2,0
Oats,1.509,SEA,8767.4,HIGH,2.414,3.696,0.198,6.63,20,3,0
Potatoes,2.584,RAIL,739.4,LOW,1.292,0.646,0.048,2.075,25,1,1
Cotton,5.792,ROAD,1778.4,LOW,31.856,3.765,1.236,34.936,9,2,1
Rice,1.904,ROAD,197.6,LOW,7.616,0.762,0.045,8.004,26,2,1
Polyester,3.258,ROAD,2353.3,LOW,20.198,2.443,0.92,24.262,23,2,1
Pork,1.574,ROAD,1979.1,HIGH,19.051,6.062,0.374,27.438,24,2,0
Rice,0.9,RAIL,4101.2,LOW,3.599,0.36,0.092,4.077,26,1,1
Plastic,1.938,ROAD,328.0,MEDIUM,6.782,4.651,0.076,11.093,22,2,2
Rice,0.453,ROAD,1217.4,LOW,1.813,0.181,0.066,2.072,26,2,1
Wool,0.191,SEA,11107.6,MEDIUM,1.991,0.402,0.032,2.491,34,3,2
Eggs,1.924,AIR,11122.3,LOW,9.233,0.866,20.325,29.522,10,0,1
Plastic,0.652,ROAD,830.0,LOW,2.284,0.522,0.065,2.862,22,2,1
Plastic,1.839,ROAD,1234.9,MEDIUM,6.438,4.414,0.273,11.563,22,2,2
Eggs,0.728,SEA,18869.9,HIGH,3.496,2.294,0.206,6.024,10,3,0
Beef,13.207,SEA,7230.1,MEDIUM,356.58,23.772,1.432,394.604,4,3,2
Aluminum,1.218,SEA,12138.6,MEDIUM,9.991,4.569,0.222,14.501,0,3,2
Potatoes,0.517,SEA,11728.1,LOW,0.258,0.129,0.091,0.507,25,3,1
Butter,0.154,AIR,10751.7,HIGH,1.849,0.485,1.574,3.743,5,0,0
Eggs,2.151,ROAD,1367.5,MEDIUM,10.324,2.904,0.353,13.186,10,2,2
Leather,4.734,ROAD,883.1,HIGH,80.474,33.136,0.502,108.498,15,2,0
Fish_Farmed,16.483,RAIL,1193.5,MEDIUM,84.063,22.252,0.492,104.92,11,1,2
Fish_Farmed,0.402,AIR,6857.3,LOW,2.048,0.181,2.616,5.244,11,0,1
Wool,4.447,ROAD,2702.8,HIGH,46.254,21.793,1.442,64.235,34,2,0
Fish_Wild,25.143,SEA,15656.4,LOW,72.916,10.057,5.905,89.117,12,3,1
Wheat,0.888,ROAD,1311.7,MEDIUM,1.243,0.932,0.14,2.56,32,2,2
Eggs,0.634,RAIL,4906.0,LOW,3.042,0.285,0.078,3.443,10,1,1
Turkey,2.11,SEA,7404.6,HIGH,22.996,7.384,0.234,29.427,31,3,0
Pork,0.982,ROAD,695.3,MEDIUM,11.877,1.62,0.082,13.04,24,2,2
Oats,2.195,SEA,9835.1,HIGH,3.512,5.378,0.324,10.036,20,3,0
Rice,0.574,ROAD,2937.8,LOW,2.297,0.23,0.202,2.54,26,2,1
Apples,5.58,ROAD,1350.5,LOW,2.232,1.395,0.904,4.44,1,2,1
Paper,1.832,SEA,10189.2,HIGH,2.382,6.413,0.28,8.875,21,3,0
Wheat,0.141,SEA,7184.4,LOW,0.197,0.049,0.015,0.257,32,3,1
Lamb,8.744,ROAD,365.4,HIGH,209.863,36.726,0.383,263.222,14,2,0
Steel,2.497,ROAD,1767.4,MEDIUM,6.993,6.743,0.53,14.45,28,2,2
Corn,0.264,ROAD,2678.4,LOW,0.291,0.093,0.085,0.441,8,2,1
Turkey,0.582,AIR,2667.3,MEDIUM,6.342,0.873,1.474,8.596,31,0,2
Butter,0.641,SEA,7349.7,MEDIUM,7.687,0.865,0.071,8.834,5,3,2
Eggs,0.212,AIR,3994.4,MEDIUM,1.018,0.286,0.805,2.004,10,0,2
Lentils,0.05,ROAD,1996.4,LOW,0.045,0.015,0.012,0.075,16,2,1
Aluminum,0.765,SEA,10632.5,HIGH,6.271,6.692,0.122,14.055,0,3,0
Wood,0.84,AIR,12042.5,LOW,0.42,0.336,9.61,9.626,33,0,1
Apples,0.112,ROAD,116.7,LOW,0.045,0.028,0.002,0.074,1,2,1
Glass,0.474,RAIL,701.0,LOW,0.426,0.284,0.008,0.748,13,1,1
Apples,2.734,RAIL,3667.1,LOW,1.093,0.683,0.251,2.109,1,1,1
Eggs,1.245,RAIL,2057.9,HIGH,5.976,3.922,0.064,9.074,10,1,0
Milk,5.437,AIR,7011.1,HIGH,10.33,13.32,36.211,60.623,18,0,0
Polyester,2.379,SEA,7983.8,MEDIUM,14.752,5.353,0.285,19.644,23,3,2
Pork,7.52,ROAD,619.8,HIGH,90.994,28.953,0.559,123.096,24,2,0
Polyester,1.122,ROAD,2358.1,LOW,6.956,0.841,0.317,7.728,23,2,1
Plastic,2.494,ROAD,2865.5,LOW,8.73,1.995,0.858,10.445,22,2,1
Turkey,43.22,RAIL,1138.7,MEDIUM,471.094,64.829,1.23,559.834,31,1,2
Wool,2.217,SEA,8938.3,LOW,23.054,1.552,0.297,26.52,34,3,1
Lentils,5.975,AIR,4850.8,MEDIUM,5.377,5.377,27.533,36.653,16,0,2
Oats,3.067,ROAD,1966.1,MEDIUM,4.907,3.22,0.724,10.03,20,2,2
Eggs,0.446,ROAD,1782.2,MEDIUM,2.142,0.603,0.095,2.808,10,2,2
Tomatoes,0.969,SEA,17298.0,LOW,2.036,0.291,0.252,2.579,30,3,1
Wool,0.198,SEA,10746.5,MEDIUM,2.061,0.416,0.032,2.458,34,3,2
Lentils,1.528,SEA,17698.3,LOW,1.375,0.458,0.406,2.293,16,3,1
Wool,1.759,SEA,11012.7,HIGH,18.292,8.618,0.291,28.477,34,3,0
Lettuce,1.71,ROAD,2739.3,MEDIUM,1.539,1.282,0.562,3.142,17,2,2
Butter,1.649,SEA,8268.6,LOW,19.783,0.742,0.204,21.892,5,3,1
Pork,1.056,ROAD,267.1,HIGH,12.777,4.065,0.034,16.862,24,2,0
Chicken,1.764,ROAD,818.9,LOW,12.169,0.882,0.173,12.492,7,2,1
Lentils,20.443,SEA,11863.5,LOW,18.399,6.133,3.638,30.317,16,3,1
Aluminum,11.875,ROAD,1884.8,HIGH,97.379,103.91,2.686,198.685,0,2,0
Glass,0.342,ROAD,2503.9,HIGH,0.308,1.435,0.103,1.633,13,2,0
Chicken,1.304,SEA,12377.9,MEDIUM,8.998,1.956,0.242,11.502,7,3,2
Leather,3.162,AIR,11435.0,HIGH,53.758,22.136,34.352,111.199,15,0,0
Turkey,1.225,ROAD,2294.6,HIGH,13.356,4.289,0.337,18.282,31,2,0
Bananas,8.003,SEA,7778.1,LOW,5.602,2.001,0.934,8.496,2,3,1
Plastic,23.142,RAIL,2115.7,MEDIUM,80.999,55.542,1.224,123.56,22,1,2
Fish_Wild,0.782,AIR,10565.3,LOW,2.268,0.313,7.849,10.38,12,0,1
Glass,1.015,SEA,12761.0,MEDIUM,0.914,1.827,0.194,2.935,13,3,2
Potatoes,1.866,ROAD,2781.0,LOW,0.933,0.466,0.623,1.847,25,2,1
Bananas,1.088,ROAD,1701.7,MEDIUM,0.761,0.816,0.222,1.774,2,2,2
Plastic,0.496,ROAD,793.0,MEDIUM,1.735,1.189,0.047,2.984,22,2,2
Tofu,0.193,ROAD,2178.6,MEDIUM,0.387,0.232,0.051,0.67,29,2,2
Fish_Farmed,2.076,SEA,10465.8,LOW,10.59,0.934,0.326,12.432,11,3,1
Turkey,4.415,ROAD,2584.0,MEDIUM,48.128,6.623,1.369,53.563,31,2,2
Lamb,3.303,AIR,10098.6,MEDIUM,79.278,5.946,31.69,120.028,14,0,2
Wheat,2.079,AIR,9461.5,MEDIUM,2.911,2.183,18.691,23.856,32,0,2
Eggs,1.89,SEA,7324.1,LOW,9.074,0.851,0.208,9.73,10,3,1
Lettuce,16.577,RAIL,3696.3,LOW,14.92,4.144,1.532,21.309,17,1,1
Chicken,1.282,SEA,16526.7,LOW,8.844,0.641,0.318,9.766,7,3,1
Milk,0.383,SEA,12444.6,MEDIUM,0.727,0.402,0.071,1.218,18,3,2
Beef,2.755,ROAD,1719.0,MEDIUM,74.395,4.96,0.568,86.809,4,2,2
Steel,3.853,SEA,9184.5,MEDIUM,10.789,10.404,0.531,20.71,28,3,2
Tofu,0.771,RAIL,4048.4,MEDIUM,1.542,0.925,0.078,2.469,29,1,2
Fish_Farmed,1.794,SEA,17933.1,MEDIUM,9.151,2.422,0.483,12.327,11,3,2
Paper,0.487,ROAD,2756.2,MEDIUM,0.633,0.731,0.161,1.497,21,2,2
Wool,3.562,AIR,9883.3,LOW,37.045,2.493,33.445,71.997,34,0,1
Apples,4.033,SEA,13148.3,LOW,1.613,1.008,0.795,3.375,1,3,1
Lettuce,3.581,AIR,7785.2,HIGH,3.223,6.267,26.488,40.136,17,0,0
Cotton,0.755,ROAD,2047.5,MEDIUM,4.154,1.473,0.186,5.717,9,2,2
Chicken,0.496,SEA,9046.9,LOW,3.424,0.248,0.067,3.579,7,3,1
Polyester,4.031,ROAD,1093.1,MEDIUM,24.99,9.069,0.529,34.796,23,2,2
Cheese,6.581,ROAD,2385.6,HIGH,88.844,23.034,1.884,108.426,6,2,0
Shrimp,0.799,ROAD,1500.8,HIGH,14.376,3.634,0.144,20.617,27,2,0
Polyester,0.82,AIR,14689.0,MEDIUM,5.084,1.845,11.442,18.738,23,0,2
Plastic,1.528,ROAD,2854.3,MEDIUM,5.346,3.666,0.523,8.886,22,2,2
Leather,14.388,ROAD,2861.8,HIGH,244.6,100.718,4.941,365.48,15,2,0
Bananas,0.393,AIR,12605.7,LOW,0.275,0.098,4.711,4.827,2,0,1
Corn,1.606,RAIL,4208.1,MEDIUM,1.766,1.686,0.169,3.741,8,1,2
Lentils,0.863,SEA,15304.1,MEDIUM,0.777,0.777,0.198,1.903,16,3,2
Chicken,2.698,SEA,5809.5,MEDIUM,18.616,4.047,0.235,22.702,7,3,2
Butter,2.377,SEA,12548.1,HIGH,28.529,7.489,0.447,36.763,5,3,0
Eggs,1.844,ROAD,2812.2,HIGH,8.853,5.81,0.622,15.605,10,2,0
Apples,3.339,SEA,9053.7,LOW,1.336,0.835,0.453,2.409,1,3,1
Rice,0.365,RAIL,1599.3,LOW,1.46,0.146,0.015,1.725,26,1,1
Glass,2.164,AIR,5894.7,HIGH,1.948,9.091,12.121,23.17,13,0,0
Glass,0.484,SEA,5381.7,HIGH,0.436,2.033,0.039,2.498,13,3,0
Leather,1.121,ROAD,453.9,HIGH,19.056,7.847,0.061,29.491,15,2,0
Apples,1.806,ROAD,408.3,LOW,0.722,0.451,0.088,1.316,1,2,1
Rice,2.702,ROAD,2268.9,LOW,10.807,1.081,0.736,12.029,26,2,1
Milk,1.218,SEA,12847.0,MEDIUM,2.314,1.279,0.235,3.705,18,3,2
Rice,0.251,RAIL,301.6,LOW,1.003,0.1,0.002,1.134,26,1,1
Lentils,0.889,ROAD,2162.7,LOW,0.8,0.267,0.231,1.297,16,2,1
Fish_Wild,0.332,SEA,12302.1,MEDIUM,0.962,0.398,0.061,1.498,12,3,2
Lettuce,0.25,SEA,9031.7,MEDIUM,0.225,0.187,0.034,0.433,17,3,2
Tofu,2.055,SEA,15545.5,LOW,4.11,0.822,0.479,5.423,29,3,1
Tofu,0.147,SEA,8943.2,LOW,0.295,0.059,0.02,0.376,29,3,1
Tofu,1.782,SEA,15034.3,MEDIUM,3.565,2.139,0.402,6.03,29,3,2
Potatoes,0.58,SEA,6613.4,LOW,0.29,0.145,0.058,0.54,25,3,1
Leather,6.271,ROAD,242.3,HIGH,106.614,43.9,0.182,153.904,15,2,0
Pork,4.306,SEA,14373.8,HIGH,52.097,16.576,0.928,69.4,24,3,0
Rice,1.953,ROAD,573.4,LOW,7.813,0.781,0.134,8.792,26,2,1
Lentils,1.048,SEA,8476.9,MEDIUM,0.943,0.943,0.133,2.156,16,3,2
Bananas,21.014,ROAD,1205.4,MEDIUM,14.71,15.761,3.04,35.148,2,2,2
Turkey,1.599,ROAD,1580.7,HIGH,17.425,5.595,0.303,20.803,31,2,0
Paper,0.235,SEA,5972.5,MEDIUM,0.305,0.352,0.021,0.681,21,3,2
Plastic,16.622,ROAD,2054.0,LOW,58.178,13.298,4.097,71.405,22,2,1
Fish_Wild,9.79,ROAD,2554.9,MEDIUM,28.391,11.748,3.002,40.304,12,2,2
Tomatoes,0.351,AIR,8760.3,MEDIUM,0.737,0.316,2.921,3.911,30,0,2
Glass,1.497,ROAD,2958.1,HIGH,1.347,6.287,0.531,7.817,13,2,0
Milk,4.411,ROAD,674.8,HIGH,8.38,10.806,0.357,18.599,18,2,0
Steel,8.089,ROAD,1540.4,HIGH,22.649,50.961,1.495,78.256,28,2,0
Glass,0.358,ROAD,910.2,MEDIUM,0.323,0.645,0.039,1.007,13,2,2
Wool,2.967,RAIL,3228.7,MEDIUM,30.852,6.23,0.239,36.684,34,1,2
Cotton,1.838,SEA,17907.7,LOW,10.112,1.195,0.494,10.787,9,3,1
Aluminum,0.519,AIR,6744.4,MEDIUM,4.254,1.946,3.324,8.657,0,0,2
Tomatoes,0.152,SEA,19504.8,MEDIUM,0.32,0.137,0.045,0.495,30,3,2
Rice,0.467,AIR,7237.6,MEDIUM,1.87,0.561,3.214,5.883,26,0,2
Polyester,2.592,SEA,8195.9,LOW,16.071,1.944,0.319,18.102,23,3,1
Pork,6.549,RAIL,4150.8,MEDIUM,79.241,10.806,0.68,96.281,24,1,2
Nuts,0.926,SEA,11485.0,LOW,2.13,0.324,0.16,2.369,19,3,1
Steel,0.816,ROAD,193.3,HIGH,2.284,5.138,0.019,7.439,28,2,0
Wheat,11.612,ROAD,2974.7,MEDIUM,16.257,12.193,4.145,32.125,32,2,2
Aluminum,2.198,SEA,12835.6,MEDIUM,18.027,8.244,0.423,25.616,0,3,2
Pork,0.176,ROAD,2358.4,HIGH,2.135,0.679,0.05,3.006,24,2,0
Wheat,4.734,RAIL,1331.3,MEDIUM,6.628,4.971,0.158,11.2,32,1,2
Nuts,0.219,RAIL,1125.5,LOW,0.503,0.076,0.006,0.565,19,1,1
Lentils,0.263,ROAD,612.9,LOW,0.237,0.079,0.019,0.333,16,2,1
Chicken,0.774,ROAD,736.6,LOW,5.341,0.387,0.068,5.584,7,2,1
Eggs,4.399,SEA,10004.2,HIGH,21.117,13.858,0.66,32.939,10,3,0
Beans,0.9,SEA,17882.2,LOW,0.9,0.27,0.241,1.304,3,3,1
Corn,1.559,ROAD,2926.5,MEDIUM,1.715,1.637,0.548,3.995,8,2,2
Nuts,1.641,ROAD,643.7,HIGH,3.774,4.02,0.127,7.82,19,2,0
Chicken,1.212,AIR,12220.4,LOW,8.366,0.606,14.075,24.517,7,0,1
Leather,3.443,AIR,12106.8,HIGH,58.526,24.099,39.596,131.328,15,0,0
Chicken,6.642,SEA,14023.2,LOW,45.831,3.321,1.397,49.446,7,3,1
Wheat,1.759,SEA,6968.2,LOW,2.462,0.616,0.184,3.337,32,3,1
Bananas,1.759,ROAD,2341.7,MEDIUM,1.231,1.319,0.494,2.843,2,2,2
Wood,3.404,RAIL,1131.9,MEDIUM,1.702,4.084,0.096,5.762,33,1,2
Eggs,20.435,ROAD,201.1,MEDIUM,98.087,27.587,0.493,129.934,10,2,2
Lentils,15.883,SEA,19538.7,LOW,14.294,4.765,4.655,22.354,16,3,1
Apples,6.994,ROAD,173.8,LOW,2.797,1.748,0.146,4.599,1,2,1
Cheese,0.548,ROAD,1179.2,MEDIUM,7.393,0.821,0.077,8.038,6,2,2
Rice,0.202,ROAD,2249.9,LOW,0.809,0.081,0.055,0.957,26,2,1
Oats,4.979,SEA,17565.9,HIGH,7.966,12.199,1.312,20.962,20,3,0
Fish_Farmed,0.981,RAIL,1943.3,LOW,5.003,0.441,0.048,6.093,11,1,1
Nuts,0.142,ROAD,2290.7,MEDIUM,0.326,0.149,0.039,0.499,19,2,2
Apples,0.933,SEA,14202.9,MEDIUM,0.373,0.699,0.199,1.227,1,3,2
Turkey,0.232,SEA,5303.5,LOW,2.524,0.116,0.018,2.623,31,3,1
Pork,1.031,AIR,8762.8,HIGH,12.473,3.969,8.581,24.983,24,0,0
Lettuce,18.382,ROAD,2063.8,MEDIUM,16.544,13.787,4.552,33.063,17,2,2
Nuts,1.314,ROAD,1098.5,HIGH,3.022,3.219,0.173,6.386,19,2,0
Lettuce,5.714,SEA,5741.7,HIGH,5.142,9.999,0.492,16.218,17,3,0
Glass,2.025,SEA,8697.2,LOW,1.823,1.215,0.264,3.399,13,3,1
Cheese,10.934,SEA,12642.2,HIGH,147.61,38.269,2.073,194.987,6,3,0
Butter,0.584,ROAD,1323.6,LOW,7.013,0.263,0.093,7.787,5,2,1
Fish_Farmed,1.537,ROAD,543.0,LOW,7.837,0.691,0.1,8.584,11,2,1
Turkey,1.483,ROAD,1655.4,LOW,16.163,0.741,0.295,19.1,31,2,1
Nuts,1.948,RAIL,630.1,LOW,4.48,0.682,0.031,5.353,19,1,1
Corn,2.858,AIR,13597.5,LOW,3.144,1.0,36.924,44.082,8,0,1
Eggs,6.296,SEA,9535.8,MEDIUM,30.222,8.5,0.901,40.086,10,3,2
Eggs,0.764,ROAD,1463.2,MEDIUM,3.666,1.031,0.134,4.768,10,2,2
Lamb,9.375,ROAD,2720.9,MEDIUM,225.011,16.876,3.061,253.334,14,2,2
Eggs,1.007,SEA,11530.8,HIGH,4.832,3.171,0.174,8.479,10,3,0
Tofu,10.196,ROAD,359.2,MEDIUM,20.392,12.235,0.44,33.904,29,2,2
Wheat,0.176,AIR,4475.0,MEDIUM,0.247,0.185,0.749,1.227,32,0,2
Butter,1.764,RAIL,2283.5,MEDIUM,21.173,2.382,0.101,23.508,5,1,2
Fish_Farmed,0.648,ROAD,616.4,LOW,3.306,0.292,0.048,3.421,11,2,1
Wheat,1.099,RAIL,2466.9,LOW,1.538,0.385,0.068,2.111,32,1,1
Fish_Wild,0.447,RAIL,2513.0,LOW,1.296,0.179,0.028,1.45,12,1,1
Bananas,1.513,AIR,6351.4,LOW,1.059,0.378,9.126,11.755,2,0,1
Polyester,1.847,SEA,19232.7,LOW,11.45,1.385,0.533,12.929,23,3,1
Turkey,1.382,RAIL,316.0,MEDIUM,15.061,2.073,0.011,17.791,31,1,2
Oats,1.146,RAIL,3051.8,LOW,1.833,0.401,0.087,2.378,20,1,1
Lentils,1.64,AIR,3427.2,LOW,1.476,0.492,5.341,7.586,16,0,1
Cheese,1.863,ROAD,1599.3,MEDIUM,25.149,2.794,0.358,28.735,6,2,2
Shrimp,15.419,ROAD,947.9,HIGH,277.54,70.156,1.754,371.407,27,2,0
Wheat,2.749,ROAD,2305.6,LOW,3.848,0.962,0.76,5.624,32,2,1
Oats,0.217,ROAD,907.8,MEDIUM,0.347,0.228,0.024,0.595,20,2,2
Lamb,2.807,ROAD,2541.1,HIGH,67.357,11.787,0.856,80.728,14,2,0
Turkey,0.104,ROAD,1438.0,MEDIUM,1.13,0.155,0.018,1.411,31,2,2
Fish_Wild,1.383,ROAD,460.6,LOW,4.011,0.553,0.076,4.874,12,2,1
Paper,0.472,SEA,15915.6,LOW,0.613,0.236,0.113,0.848,21,3,1
Cheese,3.934,ROAD,2130.6,HIGH,53.115,13.771,1.006,65.148,6,2,0
Plastic,1.299,SEA,7145.9,MEDIUM,4.546,3.117,0.139,7.819,22,3,2
Butter,0.33,ROAD,960.3,MEDIUM,3.964,0.446,0.038,4.326,5,2,2
Polyester,1.992,RAIL,2493.9,MEDIUM,12.351,4.482,0.124,17.122,23,1,2
Beans,1.331,ROAD,1012.6,MEDIUM,1.331,1.198,0.162,2.61,3,2,2
Fish_Farmed,1.958,SEA,19102.6,MEDIUM,9.984,2.643,0.561,12.529,11,3,2
Nuts,0.698,RAIL,2976.7,HIGH,1.605,1.709,0.052,3.154,19,1,0
Potatoes,1.394,AIR,14959.0,LOW,0.697,0.348,19.809,21.238,25,0,1
Lentils,0.236,ROAD,572.3,LOW,0.212,0.071,0.016,0.279,16,2,1
Paper,1.796,SEA,16978.1,LOW,2.335,0.898,0.457,3.631,21,3,1
Pork,1.506,SEA,7927.6,MEDIUM,18.218,2.484,0.179,22.486,24,3,2
Cheese,2.169,AIR,12814.5,MEDIUM,29.282,3.254,26.405,57.129,6,0,2
Eggs,1.567,ROAD,1695.4,LOW,7.523,0.705,0.319,8.428,10,2,1
Fish_Farmed,2.72,SEA,16257.9,LOW,13.87,1.224,0.663,14.982,11,3,1
Fish_Wild,0.596,ROAD,396.9,MEDIUM,1.728,0.715,0.028,2.364,12,2,2
Polyester,0.722,ROAD,1329.4,LOW,4.476,0.541,0.115,5.757,23,2,1
Corn,4.767,ROAD,534.2,MEDIUM,5.244,5.006,0.306,9.916,8,2,2
Tomatoes,1.311,SEA,10411.2,MEDIUM,2.754,1.18,0.205,3.732,30,3,2
Paper,6.546,SEA,17290.0,HIGH,8.51,22.911,1.698,32.085,21,3,0
Cotton,0.91,ROAD,1078.7,MEDIUM,5.007,1.775,0.118,6.549,9,2,2
Butter,5.543,AIR,14250.5,HIGH,66.511,17.459,75.035,155.461,5,0,0
Apples,2.566,ROAD,997.7,LOW,1.026,0.641,0.307,1.791,1,2,1
Bananas,3.075,ROAD,2674.7,MEDIUM,2.152,2.306,0.987,5.674,2,2,2
Glass,4.977,SEA,11119.9,MEDIUM,4.479,8.958,0.83,15.143,13,3,2
Paper,1.773,AIR,14021.7,LOW,2.306,0.887,23.624,29.399,21,0,1
Milk,0.978,SEA,8831.4,MEDIUM,1.858,1.027,0.13,2.968,18,3,2
Fish_Farmed,1.805,RAIL,3324.2,LOW,9.207,0.812,0.15,10.409,11,1,1
Apples,7.774,ROAD,1672.6,LOW,3.109,1.943,1.56,6.473,1,2,1
Fish_Farmed,5.021,RAIL,457.4,LOW,25.607,2.259,0.057,28.215,11,1,1
Chicken,7.218,SEA,13352.0,MEDIUM,49.803,10.827,1.446,63.712,7,3,2
Potatoes,52.641,ROAD,1408.0,LOW,26.321,13.16,8.894,49.702,25,2,1
Fish_Wild,7.742,SEA,8075.8,LOW,22.452,3.097,0.938,26.123,12,3,1
Fish_Farmed,13.56,RAIL,4953.3,MEDIUM,69.158,18.306,1.679,88.185,11,1,2
Steel,0.935,ROAD,345.7,HIGH,2.617,5.888,0.039,7.756,28,2,0
Shrimp,1.304,ROAD,1565.3,HIGH,23.48,5.935,0.245,28.583,27,2,0
Milk,0.37,ROAD,807.8,LOW,0.703,0.13,0.036,0.898,18,2,1
Corn,4.633,ROAD,1617.6,LOW,5.097,1.622,0.899,7.8,8,2,1
Wood,1.011,SEA,12715.7,LOW,0.505,0.404,0.193,1.085,33,3,1
Tofu,1.598,SEA,7405.6,LOW,3.195,0.639,0.177,4.305,29,3,1
Beef,1.2,ROAD,917.1,MEDIUM,32.39,2.159,0.132,32.467,4,2,2
Shrimp,0.879,RAIL,3457.0,MEDIUM,15.825,1.714,0.076,19.508,27,1,2
Pork,0.553,RAIL,4064.1,MEDIUM,6.692,0.913,0.056,7.585,24,1,2
Cheese,0.377,ROAD,1327.6,MEDIUM,5.087,0.565,0.06,5.557,6,2,2
Eggs,5.914,ROAD,58.7,LOW,28.386,2.661,0.042,31.511,10,2,1
Paper,0.434,SEA,15202.4,MEDIUM,0.564,0.651,0.099,1.237,21,3,2
Bananas,0.355,ROAD,602.1,LOW,0.248,0.089,0.026,0.348,2,2,1
Milk,1.174,ROAD,1693.3,MEDIUM,2.231,1.233,0.239,3.897,18,2,2
Shrimp,9.503,RAIL,4645.6,MEDIUM,171.059,18.531,1.104,184.697,27,1,2
Potatoes,2.217,ROAD,624.1,LOW,1.109,0.554,0.166,1.726,25,2,1
Butter,0.417,RAIL,212.8,MEDIUM,5.01,0.564,0.002,5.493,5,1,2
Wheat,0.48,ROAD,1705.3,LOW,0.673,0.168,0.098,0.979,32,2,1
Corn,3.381,SEA,13570.5,LOW,3.719,1.183,0.688,5.669,8,3,1
Steel,0.545,ROAD,2515.3,HIGH,1.525,3.431,0.164,5.257,28,2,0
Turkey,5.408,ROAD,2756.7,LOW,58.951,2.704,1.789,63.587,31,2,1
Milk,1.112,RAIL,3279.2,HIGH,2.112,2.724,0.091,4.893,18,1,0
Wool,2.968,SEA,11994.5,LOW,30.867,2.078,0.534,32.915,34,3,1
Oats,1.361,RAIL,3573.4,HIGH,2.177,3.334,0.122,5.822,20,1,0
Leather,1.582,ROAD,1721.1,MEDIUM,26.89,4.745,0.327,33.409,15,2,2
Lettuce,11.139,ROAD,2838.3,MEDIUM,10.025,8.354,3.794,21.521,17,2,2
Corn,2.215,ROAD,1744.6,HIGH,2.436,5.426,0.464,8.267,8,2,0
Apples,0.166,ROAD,2329.6,LOW,0.066,0.042,0.046,0.151,1,2,1
Lettuce,6.229,RAIL,1862.5,LOW,5.606,1.557,0.29,7.665,17,1,1
Tofu,0.71,SEA,8774.0,LOW,1.42,0.284,0.093,1.676,29,3,1
Butter,1.952,SEA,6227.9,HIGH,23.42,6.148,0.182,29.126,5,3,0
Polyester,0.208,RAIL,1967.7,LOW,1.293,0.156,0.01,1.477,23,1,1
Chicken,11.849,SEA,5917.6,LOW,81.757,5.924,1.052,90.166,7,3,1
Turkey,9.716,ROAD,1206.5,HIGH,105.901,34.005,1.407,130.839,31,2,0
Apples,2.201,ROAD,2237.9,MEDIUM,0.88,1.651,0.591,3.067,1,2,2
Chicken,1.071,SEA,15502.8,MEDIUM,7.393,1.607,0.249,8.304,7,3,2
